1.0000000000	445 443 443 2155 43 1133
1.0000000000	0 2144 2145 445 438 2145
1.0000000000	2 13 15 17 19 109
1.0000000000	0 2144 2145 445 438
1.0000000000	13 15 17 19 109
1.0000000000	2135 443 2139 445 2141
1.0000000000	438 2145 445 443 443
1.0000000000	23 72 147 31 110
1.0000000000	2145 445 443 443 2155
1.0000000000	2 13 15 17 19
1.0000000000	31 110 72 20
1.0000000000	23 31 110 72
1.0000000000	1 191 167 195
1.0000000000	9 31 110 72
1.0000000000	9 31 110 20
1.0000000000	1 31 110 134
1.0000000000	9 31 110 23
1.0000000000	443 2139 445 2141
1.0000000000	0 2144 2145 445
1.0000000000	13 15 17 19
1.0000000000	2 13 15 17
1.0000000000	9 114 141 109
1.0000000000	114 141 109 383
1.0000000000	72 147 31 110
1.0000000000	1 464 19
1.0000000000	9 114 141
1.0000000000	1 746 9
1.0000000000	1 512 9
1.0000000000	2 31 110
1.0000000000	19 223 171
1.0000000000	15 17 19
1.0000000000	9 31 110
1.0000000000	1 31 110
1.0000000000	20 31 110
1.0000000000	2 13 15
1.0000000000	1 251 298
1.0000000000	1 518 757
1.0000000000	1 200 9
1.0000000000	62 31 110
1.0000000000	43 1133 2683
1.0000000000	13 15 17
1.0000000000	0 2144 2145
1.0000000000	1 79 9
1.0000000000	1 371 161
1.0000000000	1 371 477
1.0000000000	31 110 148
1.0000000000	31 110 20
1.0000000000	31 110 23
1.0000000000	31 110 383
1.0000000000	31 110 134
1.0000000000	31 110 72
1.0000000000	38 31 110
1.0000000000	147 114 141
1.0000000000	147 276 20
1.0000000000	191 167 195
1.0000000000	423 426 109
1.0000000000	4737 436 383
1.0000000000	421 423 426
1.0000000000	114 141 109
1.0000000000	23 88 62
1.0000000000	23 72 147
1.0000000000	1675 167 70
1.0000000000	147 31 110
1.0000000000	23 261 62
1.0000000000	2379 167 4688
1.0000000000	2379 167 5225
1.0000000000	1 271 9
1.0000000000	1 1191 9
1.0000000000	1 167 1273
1.0000000000	1 228 9
1.0000000000	1 114 141
1.0000000000	77 355 77
1.0000000000	1 191 167
1.0000000000	0 761 390
1.0000000000	1 314 9
1.0000000000	1 234 9
1.0000000000	1 74 9
1.0000000000	624 20 617
1.0000000000	141 109 383
1.0000000000	1 768 9
1.0000000000	23 31 110
1.0000000000	684 9
1.0000000000	23 31
1.0000000000	20 518
1.0000000000	2933 2931
1.0000000000	1890 1891
1.0000000000	23 315
1.0000000000	23 261
1.0000000000	23 88
1.0000000000	23 72
1.0000000000	20 617
1.0000000000	23 167
1.0000000000	20 167
1.0000000000	23 532
1.0000000000	20 221
1.0000000000	20 228
1.0000000000	20 196
1.0000000000	23 468
1.0000000000	20 23
1.0000000000	23 173
1.0000000000	20 31
1.0000000000	20 2
1.0000000000	680 62
1.0000000000	23 629
1.0000000000	5747 5748
1.0000000000	20 870
1.0000000000	1817 9
1.0000000000	2727 9
1.0000000000	2933 3221
1.0000000000	9 1362
1.0000000000	9 447
1.0000000000	1 1156
1.0000000000	9 2095
1.0000000000	9 114
1.0000000000	9 31
1.0000000000	5 9
1.0000000000	9 383
1.0000000000	1 72
1.0000000000	9 167
1.0000000000	0 710
1.0000000000	9 617
1.0000000000	1 31
1.0000000000	9 72
1.0000000000	1 558
1.0000000000	1 167
1.0000000000	1 74
1.0000000000	1 228
1.0000000000	1 314
1.0000000000	1 1793
1.0000000000	0 761
1.0000000000	1 114
1.0000000000	1 191
1.0000000000	0 464
1.0000000000	1 1766
1.0000000000	1 372
1.0000000000	9 94
1.0000000000	1 1885
1.0000000000	1 280
1.0000000000	0 308
1.0000000000	1 586
1.0000000000	1 271
1.0000000000	1 1890
1.0000000000	0 332
1.0000000000	1 746
1.0000000000	1 473
1.0000000000	1 464
1.0000000000	0 125
1.0000000000	9 748
1.0000000000	1 398
1.0000000000	0 2448
1.0000000000	0 134
1.0000000000	1 436
1.0000000000	1 371
1.0000000000	9 2
1.0000000000	1 34
1.0000000000	1 223
1.0000000000	1 134
1.0000000000	1 1200
1.0000000000	1 79
1.0000000000	1 19
1.0000000000	2 13
1.0000000000	1 251
1.0000000000	1 357
1.0000000000	1 518
1.0000000000	1 383
1.0000000000	1 2379
1.0000000000	1 447
1.0000000000	1 458
1.0000000000	1 768
1.0000000000	1 182
1.0000000000	9 116
1.0000000000	1 298
1.0000000000	9 3149
1.0000000000	624 20
